series_name,episode_name,episode_number,episode_season,rating,total_votes,description
Seinfeld,The Wallet,5,4,8,3412,"
Jerry is asked to explain to his parents why he does not wear the watch they gave him. Morty Seinfeld thinks his wallet has been stolen from him at his doctor's appointment.    "
Seinfeld,The Watch,6,4,8,3347,"
Jerry tries to buy his watch back from Uncle Leo, who found it in the garbage, having been thrown there by Jerry. George tries to resurrect the fledgling NBC deal, while Elaine plans a break up from her psychotherapist with Kramer's help.    "
Seinfeld,The Bubble Boy,7,4,8.7,4656,"
On their way to the family cabin, George and Susan visit a boy who lives in a bubble; Kramer and Naomi start a fire that ends up burning down the cabin.    "
Seinfeld,The Cheever Letters,8,4,8.5,3704,"
Jerry offends Elaine's assistant. Kramer makes a contact for Cuban cigars. A box of letters from John Cheever is all that remains after Susan's father's cabin burns down.    "
Seinfeld,The Opera,9,4,8.2,3591,"
Elaine unknowingly is dating Crazy Joe Davola, who has just left a threatening message on Jerry's recorder.    "
Seinfeld,The Virgin,10,4,8.1,3498,"
Jerry finds out that the girl he likes is still a virgin; George wants to end his relationship with Susan to exploit his writing profession as a pick-up line.    "
Seinfeld,The Contest,11,4,9.5,8455,"
George's mother throws her back out when she falls down after catching George performing a personal act; the gang partakes in a contest of self-denial.    "
Seinfeld,The Airport,12,4,8.9,4483,"
Jerry and Elaine fly back to New York. Jerry travels on first class while Elaine on coach. George and Kramer run into trouble while trying to arrive on time to pick up Jerry and Elaine at the airport.    "
Seinfeld,The Pick,13,4,8.5,3724,"
George has decided he's made a terrible mistake in breaking up with Susan. He moans and groans and is generally driving everybody crazy. Against everyone's advice he decides to tell her he made a mistake . No sooner are they back together than he decides he's the one who made the mistake. Elaine decides to put her picture on her Christmas cards and Kramer agrees to be the photographer. Only problem is that she exposes just a little too much of herself. Jerry meanwhile is dating the model he recently met on a flight and things seem to be going nicely....until she sees ...    "
Seinfeld,The Movie,14,4,8.1,3567,"
Jerry does a set at a comedy club, then goes to meet George, Elaine, and Kramer afterward to see a screening of Checkmate. However, a simple miscommunication causes the four to keep missing each other at two different theaters.    "
Seinfeld,The Visa,15,4,8,3345,"
Jerry returns from a two week tour to find that his old friend Babu, whom Jerry drove into bankruptcy by suggesting he change the menu in his restaurant, is working at the café. He's also living down the hall from Jerry, who is shocked to find that Babu is arrested for overstaying his visa. Turns out his visa application got mixed in with Jerry's mail. George meanwhile asks an attractive lawyer, Cheryl, to go out with him. She laughs at everything he says and he tells Jerry to butt out and not be funny. When they hear that Cheryl does immigration law, they ask her to ...    "
Seinfeld,The Shoes,16,4,8.1,3510,"
Elaine can't seem to figure out why her shoes are a subject of conversation. Jerry and George pitch their pilot to NBC, but the deal is nearly jinxed when George takes a peek at the cleavage of the NBC president's daughter.    "
Seinfeld,The Outing,17,4,9.4,6052,"
A prank by Elaine leads a newspaper journalist to think that Jerry and George are gay.    "
Seinfeld,The Old Man,18,4,8,3525,"
Elaine gets the gang to volunteer visiting the elderly, each ""adopting"" an old person. She gets freaked out by hers, George gets fired by his guy, and Jerry loses his. Kramer and Newman scheme to sell records to a vintage music store and steal the records from Jerry's old guy.    "
Seinfeld,The Implant,19,4,8.6,3767,"
Elaine is adamant that the woman Jerry likes has implants. But when Elaine meets the woman in the sauna and trips and lands on her breasts, she isn't sure if they are implants after all...    "
Seinfeld,The Junior Mint,20,4,8.7,4165,"
Elaine decides to visit her former boyfriend, who is in the hospital for a serious operation; Kramer and Jerry have an accident with a Junior Mint; Jerry had a date with a woman whose name rhymes with a female body part.    "
Seinfeld,The Smelly Car,21,4,8.4,3563,"
After dinner, Jerry gets his car back from the valet. He and Elaine get in the car and realize that the valet has really bad B.O.. Jerry goes to great lengths to get the smell out of his car while Elaine goes to great lengths to get the smell out of her hair. Jerry soon realizes that the smell isn't just a mere odor, but an entity unto itself, and finally decides that he has to get rid of his car. Meanwhile, George gets reacquainted with Susan and discovers that he drove her to lesbianism, and Kramer dates Susan's girlfriend.    "
Seinfeld,The Handicap Spot,22,4,8.3,3404,"
At Kramer's insistence, George parks his Dad's car in a handicap spot. After a woman is injured because of it, George becomes his Dad's butler while Kramer tries to help the woman.    "
Seinfeld,The Pilot,23,4,8.6,3775,"
""Jerry,"" the television pilot, gets cast and finally airs. Elaine tries to discourage Dalrymple's romantic pursuit.    "
Seinfeld,The Mango,1,5,8.6,3753,"
Elaine makes a startling confession.    "
Seinfeld,The Puffy Shirt,2,5,8.9,4458,"
Kramer and his soft-spoken friend Leslie start a new line of clothing and Jerry accidentally agrees to wear it on the Today show.    "
Seinfeld,The Glasses,3,5,8.4,3527,"
George loses his glasses at the health club.    "
Seinfeld,The Sniffing Accountant,4,5,8.1,3419,"
The gang gets suspicious of their accountant.    "
Seinfeld,The Bris,5,5,8.1,3610,"
Elaine and Jerry are nervous about the religious duties they must do when they agree to become godparents to a couple's newborn; George nabs great parking spot.    "
Seinfeld,The Lip Reader,6,5,8.4,3491,"
George decides to use Jerry's girlfriend to spy on his friends by having her read their lips. Kramer claims he can also read lips and tries to prove it.    "
Seinfeld,The Non-Fat Yogurt,7,5,8.4,3747,"
Kramer invests in a new non-fat yogurt store.    "
Seinfeld,The Barber,8,5,8.3,3547,"
Jerry regrets giving his longtime barber the heave-ho after he gets a ridiculous-looking haircut. George gets a job interview but the boss leaves him with a very cryptic ending. Kramer begs Elaine to let him take part in her charity bachelor auction.    "
Seinfeld,The Masseuse,9,5,7.7,3337,"
Jerry gets mad when he dates a masseuse. Kramer and George get massages while Jerry doesn't. Meanwhile, Elaine's new boyfriend is Joel Rifkin, an innocent man who shares the same name as one of New York's most notorious serial killers.    "
Seinfeld,The Cigar Store Indian,10,5,8.4,3620,"
Jerry is deemed a racist when he purchases a Native American statue for Elaine. Kramer tries to get Elaine's company to publish his coffee table book. Elaine runs into a really creepy man on the subway who steals Frank's TV Guide and follows her to the Costanza's house. Meanwhile, George gets grounded when he has sex with a woman in his parents' bed.    "
Seinfeld,The Conversion,11,5,8.1,3318,"
George changes his religion to Latvian Orthodox to keep his girlfriend happy; Jerry becomes curious as to why his girlfriend needs fungus cream.    "
Seinfeld,The Stall,12,5,8.6,3679,"
At a movie theater's restroom, Elaine, realizing she doesn't have any toilet paper left, asks the woman in the next stall (Jami Gertz) if she has any toilet paper to spare, but the woman refuses, claiming that she ""can't spare a square"". Elaine pleads with the woman, but she leaves, ignoring Elaine. The woman returns to her seat, and is revealed as Jerry's girlfriend, Jane. Elaine is shown returning to her seat, with her new boyfriend Tony (played by Dan Cortese). The two women tell their dates about what had just happened. At Jerry's apartment, Kramer walks in, ...    "
Seinfeld,The Dinner Party,13,5,8.2,3436,"
En route to a dinner party, Jerry and Elaine stop off at a bakery and get held up when the bakery runs out of what they want to purchase. Meanwhile, George and Kramer, en route to said dinner party, stop off at a liquor store to buy a bottle of wine and have a hard time picking one out.    "
Seinfeld,The Marine Biologist,14,5,9.2,5355,"
George starts dating a college friend who, thanks to Jerry, thinks George is now a marine biologist. Elaine's electronic organizer injures a person after being launched from a limo by a Russian novelist. Kramer decides to golf on the beach.    "
Seinfeld,The Pie,15,5,8.5,3458,"
While shopping for a new suit for a job interview, George and the others stumble upon a mannequin which scarily resembles Elaine. Meanwhile Jerry tries to figure out why his girlfriend won't try his apple pie at Monks.    "
Seinfeld,The Stand-In,16,5,7.6,3217,"
Kramer gets a job with Mickey as a TV stand-in. Jerry sets Elaine up with a guy who he says would be perfect for her. At the end of their first date he takes ""it"" out.    "
Seinfeld,The Wife,17,5,8,3319,"
Jerry gets a permanent discount at his local dry cleaners after returning a locket he found in a jacket pocket. His new girlfriend Meryl also claims the discount claiming to be Jerry's wife. It all gets out of hand when Jerry's Uncle Leo hears he's married. Elaine thinks an airline pilot who goes to the same health club but her interest wanes quickly when he wipes the top of her water bottle before drinking from it. George is in trouble when the pilot sees him urinating in the shower at the same club. Kramer has had trouble sleeping at home but not, unfortunately at ...    "
Seinfeld,The Raincoats,18,5,8.4,3377,"
Jerry and his latest girlfriend finally get alone time when they go on a date to see ""Schindler's List"", where Newman oversees them making out.    "
Seinfeld,"The Raincoats, Part Two",19,5,8.1,604,"
Jerry pays for his parents Paris anniversary, George becomes a big brother in ""The Big Brother"" Organization, Elaine's odd new boyfriend Erin is a close-talker, Kramer makes a deal Selling vintage coats with Jerry's Father.    "
Seinfeld,The Fire,20,5,8.6,3671,"
George dates a woman who has a son, and she invites him to the boy's birthday party. At the party, a fire breaks out in the kitchen and George screams ""FIRE!"" and knocks down the kids and an old lady as he makes his cowardly escape. The clown (not Bozo) puts out the fire with his big shoe. Meanwhile, at Pendant Publishing, Elaine learns that she's up for a very nice promotion; her main competition, Toby, is working with Kramer on his coffee-table book. The three head over to the comedy club where Jerry is doing an important set where a writer from Entertainment Weekly...    "
Seinfeld,The Hamptons,21,5,9,4583,"
The gang goes to the Hamptons for the weekend to visit Elaine's friends' new baby.    "
Seinfeld,The Opposite,22,5,9.5,6428,"
George decides to turn his life around by doing the exact opposite of what he would usually do. Elaine is having a lot of bad luck. Jerry keeps breaking even. Kramer gets the coffee table book published.    "
Seinfeld,The Chaperone,1,6,7.9,3215,"
Jerry dates a Miss America contestant. Kramer tags along.    "
Seinfeld,The Big Salad,2,6,8.1,3368,"
George gets upset when he buys a large salad for Elaine but his girlfriend Julie gets the thanks for it. Elaine can't believe that he raises the subject with her and gets back to Julie, which doesn't bode well with George. Jerry reassesses his feelings for his new girlfriend when he learns that she went out with Newman--and he dumped her. Kramer gets into an argument with his golfing partner, a former baseball player, who later loses his temper and is sought by the police. Kramer, sure that he caused it all, rushes to his buddy's aid.    "
Seinfeld,The Pledge Drive,3,6,8.2,3310,"
Kramer finds Jerry's old birthday checks from his grandmother and insists he deposits them, which puts Nana in unexpected debt. Elaine accidentally tells the high talker a secret. Mr Pitt eats a Snickers bar with utensils.    "
Seinfeld,The Chinese Woman,4,6,8.1,3278,"
George's telephone line crosses with that of a woman named Donna Chang, and everyone seeks her advice when she convinces them that she's Chinese. Jerry winds up dating her. Things get worse when Frank and Estelle announce a separation. Jerry and Elaine can't seem to figure out why Frank Costanza is having mysterious business dealings with a man in a cape.    "
Seinfeld,The Couch,5,6,8.1,3243,"
Jerry's new couch is completely ruined when Elaine upsets a man with a bladder condition. Kramer decides to start up his own new pizza business. George joins a book club but instead of reading the book he watches the movie.    "
Seinfeld,The Gymnast,6,6,8.2,3322,"
Jerry's excitement about dating a gymnast diminishes after mediocre sex; George's girlfriend's mom catches him eating out of the trash; Kramer passes a kidney stone.    "
Seinfeld,The Soup,7,6,8.1,3198,"
Jerry accepts an Armani suit from Kenny Bania, provided that he will treat him to a meal; Elaine dates a bounder from England; Kramer decides to eat fresh.    "
Seinfeld,The Mom and Pop Store,8,6,8.1,3249,"
George buys a convertible he thinks was once owned by Jon Voight. Kramer tries to save a small shoe-repair business. Elaine answers a radio quiz, enabling Mr. Pitt to participate in the Macy's Thanksgiving Day Parade. Meanwhile, Jerry tries to solve the mystery of whether or not he's invited to Tim Whatley's annual Pre-Thanksgiving party.    "
Seinfeld,The Secretary,9,6,8.1,3081,"
George gets a secretary, saying he will go for efficiency and smarts rather than beauty. He hires a librarian-esque woman, only to find himself falling in love with her.    "
Seinfeld,The Race,10,6,8.9,4350,"
A grade school acquaintance puts pressure on Jerry to finally settle an old score in the form of a race; Elaine is blacklisted from a Chinese restaurant.    "
Seinfeld,The Switch,11,6,8.9,4211,"
Jerry wants to switch from dating a non-laughing woman to dating her roommate; Elaine has difficulty retrieving a tennis racket she loaned out; George enlists Kramer's mother to spy on his seemingly bulimic girlfriend.    "
Seinfeld,The Label Maker,12,6,8.5,3288,"
Tim Whatley gives Jerry a label maker as a thank you for his Super Bowl tickets. George is uncomfortable with his girlfriend's male roommate. Kramer and Newman play a game of Risk.    "
Seinfeld,The Scofflaw,13,6,8,3061,"
When George learns that their friend Gary never had cancer as he claimed, he promises to keep it secret from Jerry--of course, George can keep a secret for about two seconds. Elaine gets all tied up in knots when she learns that someone said hi to her ex-boyfriend on her behalf. She goes out of her way to let him know otherwise, which seems to defeat the purpose. Kramer has a run-in with the local beat cop, who tells him that someone in the neighborhood has amassed parking tickets for years, and Kramer figures out just who it is.    "
Seinfeld,Highlights of a Hundred,14,6,7,2938,"
For the series' 100th episode, Jerry Seinfeld hosts a one hour retrospective with clips from previous episodes: the idea for a show about nothing; the smelly car; the puffy shirt; the astronaut pen; Jerry's hair; George's lack of hair; Mulva; Jerry's virgin girlfriend; the Hernandez incident; the outing; the masters of their domain; the bubble boy - are only a few of the episodes included.    "
Seinfeld,The Beard,15,6,8.2,3149,"
Elaine tries to convert a gay man to heterosexuality; George is upset when his blind date turns out to be bald; Jerry braces for a lie detector test    "
Seinfeld,The Kiss Hello,16,6,8.2,3106,"
Kramer tries to create a Utopian society when he puts up pictures of all the residents of his and Jerry's building. Jerry doesn't mind until the women of the building want to be greeted with a kiss. After Jerry objects to kissing hello, he's vilified and nearly kicked out of the building. Jerry also has to settle some family issues when Nana remembers that Uncle Leo was supposed to give Jerry's mom some money 50 years ago and Uncle Leo puts Nana in a home to keep her quiet. Meanwhile, Elaine's friend who is a physical therapist skips out on George's appointment and ...    "
Seinfeld,The Doorman,17,6,8.2,3198,"
Jerry is inconvenienced by a tenacious doorman at an apartment building; Kramer robs George on the street to put on a show for a group of German tourists.    "
Seinfeld,The Jimmy,18,6,8.9,4128,"
Elaine dates a man whose habit of speaking in third person causes a wide array of confusion; George is blamed for the theft of Yankees' sports equipment.    "
Seinfeld,The Doodle,19,6,8.2,3049,"
George dates a girl from Elaine's art class and wonders whether or not her humorous caricature of him is a sign that she likes him or not. Thanks to Newman's fleas, Jerry's visiting parents are forced to stay in Elaine's luxury hotel room. Elaine gets a potential job offer but accidentally leaves the manuscript in Jerry's flea-infested apartment.    "
Seinfeld,The Fusilli Jerry,20,6,8.7,3683,"
Frank has an unfortunate accident involving one of Kramer's pasta sculptures; Kramer gets the wrong license plates; Jerry becomes disturbed when he finds out that his mechanic used his personal sex move on Elaine.    "
Seinfeld,The Diplomat's Club,21,6,8.1,3050,"
Jerry's simple airport meeting turns into a nightmare thanks to his incompetent agent; Kramer gets into hot water when he gambled with a rich Texan.    "
Seinfeld,The Face Painter,22,6,8.4,3203,"
Jerry, Elaine, Kramer, and David Puddy go to two Stanley Cup playoff games; Kramer holds a grudge against a chimpanzee who hit him with a banana peel; George resolves to take the dramatic step of telling his girlfriend he loves her.    "
Seinfeld,The Understudy,23,6,7.9,3140,"
Jerry dates the ultra-sensitive understudy for Bette Midler in Rochelle, Rochelle: The Musical. When the Improv is scheduled to play Rochelle Rochelle in a softball game, George plows into catcher Bette Midler to score the winning run. Bette is injured because of the incident and is unable to perform in the Broadway premiere. Jerry, George, and the understudy are vilified for the incident, and Kramer goes out of his way to help Bette. Meanwhile, Elaine suspects that a local nail shop is making fun of her in Korean. She learns that George's dad Frank speaks Korean and ...    "
Seinfeld,The Engagement,1,7,8.6,3350,"
While sitting in the coffee shop, Jerry and George resolve to grow up and take life more seriously. Jerry decides to call the woman he recently broke up with - because she shushed him. For his part, George has been thinking a lot about his former girlfriend Susan. After imagining the ideal life they could have together, he goes to her apartment and proposes. She accepts and George almost immediately begins to have second thoughts, especially after Jerry breaks up with his girlfriend a second time. Elaine meanwhile is having trouble with a neighbor's barking dog and ...    "
Seinfeld,The Postponement,2,7,8.2,3022,"
George gets cold feet and tries everything he can to postpone the wedding; Elaine is jealous of George's engagement; Kramer spills hot coffee on himself.    "
Seinfeld,The Maestro,3,7,8.1,3111,"
Elaine's latest boyfriend likes to be known as ""The Maestro""; Kramer reaches an unsatisfactory settlement with the coffee company, much to his lawyer's chagrin.    "
Seinfeld,The Wink,4,7,8.6,3331,"
Jerry squirts grapefruit into George's eye at breakfast, and for the rest of the day George is misinterpreted because everyone thinks he is winking at them.    "
Seinfeld,The Hot Tub,5,7,8.6,3258,"
Wilhelm thinks George is cracking under the pressure of working in the big leagues. So he has George entertain a group of visiting baseball officials from the Houston Astros, who are in New York to discuss inter-league play. George picks up a bad habit from them, who call everyone either a ""bastard"" or a ""son of a bitch"". Kramer buys a hot tub from his friend Lomez and installs it in his apartment. At the same time, Elaine is having a marathon runner from Trinidad And Tobago named Jean Paul Jean Paul stay with her as a house guest. Jean Paul was in the Olympics and ...    "
Seinfeld,The Soup Nazi,6,7,9.5,6627,"
A soup stand owner obsesses about his customers' ordering procedure, but his soup is so good that people line up down the block for it anyway.    "
Seinfeld,The Secret Code,7,7,8.4,3159,"
George refuses to give anyone his secret code (BOSCO). Kramer buys a police scanner. Jerry does a series of ads for Leapin' Larry's Appliance Store. Elaine has dinner with J. Peterman but after she and Jerry bail on the dinner, George is stuck to dine with Peterman. George spills his secret code to Peterman's dying mother and gets in trouble for it.    "
Seinfeld,The Pool Guy,8,7,8.3,3106,"
Jerry has a hard time telling the pool guy at his new health club that there isn't room for a 5th member of the group. George's worlds collide when Elaine starts hanging out with Susan. Kramer discovers that his phone number is one digit off from that of a popular movie-finding service and offers help to those that mistakenly call his number.    "
Seinfeld,The Sponge,9,7,8.3,3153,"
After learning that her prophylactic of choice is being discontinued, Elaine buys a case of Today sponges and scrutinizes her dates for their sponge-worthiness.    "
Seinfeld,The Gum,10,7,8.6,3455,"
When Lloyd Braun comes back from the psychiatric hospital, Kramer takes him under his wing and convinces Jerry to buy gum from him and wear glasses that don't belong to him to prove that Lloyd isn't crazy. George tries to prove to his old neighbor Deena that he isn't crazy after a cashier short-changes him.    "
Seinfeld,The Rye,11,7,8.8,3869,"
After George's parents take back the bread they gifted to Susan's parents, George makes Jerry find another loaf and tries to appease Susan's parents by taking them on Kramer's Manhattan horse tours, to disastrous consequences.    "
Seinfeld,The Caddy,12,7,8.6,3244,"
Elaine's floozy former ex-roommate Sue Ellen Mischkie returns. George locks his keys in his car and leaves it in the Yankees parking lot. Elaine, out of spite, buys Sue Ellen a bra for a birthday gift as she has never worn one. George, having successfully convinced Wilhelm and Steinbrenner that he's putting in extra hours, decides to skip town with Susan after learning that her father rebuilt the cabin. So George asks Kramer and Jerry to go to Yankee Stadium and take the fliers off of his car. The car is really dirty, and Jerry and Kramer decide to go take it to the ...    "
Seinfeld,The Seven,13,7,8.1,2988,"
George becomes upset when Susan's cousin names her baby with the name he planned to use for his first child; Jerry questions his girlfriend's style.    "
Seinfeld,The Cadillac,14,7,8.5,3306,"
In this hour-long episode, Jerry performs the biggest show of his life in Atlantic City. He receives a rather generous pay check for the event, and decides to buy his father a Cadillac. Unfortunately, doing so puts Morty in the hot seat with the condo board of directors, where he serves as president. Morty is accused of stealing money from the board, and ultimately gets removed from his post as president and kicked out of the condo. Meanwhile, thanks to Elaine, George can score a date with ""My Cousin Vinny"" star Marisa Tomei but Elaine objects because of George's ...    "
Seinfeld,The Shower Head,15,7,8.4,3057,"
Peterman wants Elaine to go to Africa, but when Elaine tests positive for Opium in her physical, that means no dice. George tries to convince his parents to move to Florida so that he finally gets his ""buffer zone"", but they have problems with Jerry's parents. Kramer and Newman scheme to buy black market shower heads when the building switches to low-flow ones.    "
Seinfeld,The Doll,16,7,8.1,3016,"
George freaks out when he discovers that Susan has a doll that looks exactly like his mother. Jerry decides to use that as a bit on the Charles Grodin show when his prop gets destroyed in his carry-on luggage, but fellow comedian Sally Weaver screws up his bit by bringing him the wrong doll.    "
Seinfeld,The Friars Club,17,7,7.7,2913,"
Jerry has a hard time getting membership in the Friar's Club when the Flying Sandos Brothers take his jacket during a show. Meanwhile, Elaine suspects that a new co-worker (Rob Schneider) is faking a hearing disorder to get out of doing work.    "
Seinfeld,The Wig Master,18,7,8.1,3009,"
Susan's friends are in town for the Broadway production of Joseph And The Amazing Technicolor Dreamcoat. Kramer gets to wear the coat and is mistaken for a pimp in public when he accuses a local parking lot of running a prostitution ring out of his car. Jerry buys a jacket and later returns it for spite. Elaine tries to buy a dress from the same guy Jerry gets the jacket from, but is stunned to learn that he's holding it until Elaine sleeps with him.    "
